nome;codTipo;Tipo;
José Mentor;10000;Deputado;
Laercio Oliveira;10000;Deputado;
Ricardo Izar;10000;Deputado;
Célio Silveira;10000;Deputado;
Vicentinho;10000;Deputado;
Alencar Santana Braga;10000;Deputado;
Carlos Veras;10000;Deputado;
Odair Cunha;10000;Deputado;
Pompeo de Mattos;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Afonso Florence;10000;Deputado;
Airton Faleiro;10000;Deputado;
Alencar Santana Braga;10000;Deputado;
Alexandre Padilha;10000;Deputado;
Arlindo Chinaglia;10000;Deputado;
Benedita da Silva;10000;Deputado;
Beto Faro;10000;Deputado;
Bohn Gass;10000;Deputado;
Camilo Capiberibe;10000;Deputado;
Carlos Veras;10000;Deputado;
Carlos Zarattini;10000;Deputado;
Célio Moura;10000;Deputado;
Daniel Almeida;10000;Deputado;
Enio Verri;10000;Deputado;
Erika Kokay;10000;Deputado;
Frei Anastacio Ribeiro;10000;Deputado;
Glauber Braga;10000;Deputado;
Gleisi Hoffmann;10000;Deputado;
Heitor Schuch;10000;Deputado;
Helder Salomão;10000;Deputado;
Henrique Fontana;10000;Deputado;
Ivan Valente;10000;Deputado;
João Daniel;10000;Deputado;
Jorge Solla;10000;Deputado;
José Airton Félix Cirilo;10000;Deputado;
José Guimarães;10000;Deputado;
José Ricardo;10000;Deputado;
Joseildo Ramos;10000;Deputado;
Leo de Brito;10000;Deputado;
Leonardo Monteiro;10000;Deputado;
Luiza Erundina;10000;Deputado;
Luizianne Lins;10000;Deputado;
Marcon;10000;Deputado;
Maria do Rosário;10000;Deputado;
Marília Arraes;10000;Deputado;
Merlong Solano;10000;Deputado;
Natália Bonavides;10000;Deputado;
Nilto Tatto;10000;Deputado;
Orlando Silva;10000;Deputado;
Padre João;10000;Deputado;
Patrus Ananias;10000;Deputado;
Paulão;10000;Deputado;
Paulo Guedes;10000;Deputado;
Paulo Pimenta;10000;Deputado;
Paulo Teixeira;10000;Deputado;
Pedro Uczai;10000;Deputado;
Perpétua Almeida;10000;Deputado;
Professora Marcivania;10000;Deputado;
Professora Rosa Neide;10000;Deputado;
Reginaldo Lopes;10000;Deputado;
Rejane Dias;10000;Deputado;
Rogério Correia;10000;Deputado;
Rubens Otoni;10000;Deputado;
Rubens Pereira Júnior;10000;Deputado;
Rui Falcão;10000;Deputado;
Sâmia Bomfim;10000;Deputado;
Túlio Gadêlha;10000;Deputado;
Valmir Assunção;10000;Deputado;
Vander Loubet;10000;Deputado;
Vicentinho;10000;Deputado;
Vilson da Fetaemg;10000;Deputado;
Vivi Reis;10000;Deputado;
Waldenor Pereira;10000;Deputado;
Wolney Queiroz;10000;Deputado;
Zé Carlos;10000;Deputado;
Zé Neto;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Pompeo de Mattos;10000;Deputado;
Dagoberto Nogueira;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Pompeo de Mattos;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Alexandre Frota;10000;Deputado;
Pompeo de Mattos;10000;Deputado;
Antonio Brito;10000;Deputado;
Professor Israel Batista;10000;Deputado;
Tabata Amaral;10000;Deputado;
Zé Silva;10000;Deputado;
Zé Silva;10000;Deputado;
José Nelto;10000;Deputado;
José Nelto;10000;Deputado;
José Nelto;10000;Deputado;
José Nelto;10000;Deputado;
Leda Sadala;10000;Deputado;
Túlio Gadêlha;10000;Deputado;
Denis Bezerra;10000;Deputado;
Fausto Pinato;10000;Deputado;
José Nelto;10000;Deputado;
