id_proposicao;ano;tipo;numero;assunto;autores;cod_situacao;
303153;2022;PL;618;Dispõe sobre o exercício da profissão de Podólogo e dá outras providências.;[('José Mentor', 10000, 'Deputado')];None;
587207;2022;PL;1367;Dispõe sobre a prestação dos serviços de controle integrado de vetores e pragas urbanas por empresas especializadas, e dá outras providências.;[('Laercio Oliveira', 10000, 'Deputado')];907;
597587;2022;PL;3062;Altera a redação dos arts. 14, 17 e 18 da Lei nº 11.794, de 8 de outubro de 2008, para dispor sobre a vedação da utilização de animais em atividades de ensino, pesquisas e testes laboratoriais com substâncias para o desenvolvimento de produtos de uso cosmético em humanos e aumentar os valores de multa nos casos de violação de seus dispositivos.;[('Ricardo Izar', 10000, 'Deputado')];None;
996806;2022;PL;1637;Dispõe sobre a avaliação psicológica de gestantes e puérperas.;[('Célio Silveira', 10000, 'Deputado')];907;
2053152;2022;PL;2053;Institui o Dia Nacional das Tradições das Raízes de Matrizes Africanas e Nações do Candomblé.;[('Vicentinho', 10000, 'Deputado')];1140;
2313792;2022;PL;13;Determina às empresas de transporte de passageiros a implantação de rastreamento no transporte de PETs – animais de estimação;[('Alencar Santana Braga', 10000, 'Deputado'), ('Carlos Veras', 10000, 'Deputado'), ('Odair Cunha', 10000, 'Deputado')];924;
2313793;2022;PL;15;Altera a Lei nº 10.260, de 20 de
julho de 2001, que dispõe sobre o
Fundo de Financiamento ao
estudante do Ensino Superior,
para conceder desconto na
quitação antecipada das parcelas
do FIES.;[('Pompeo de Mattos', 10000, 'Deputado')];925;
2313794;2022;PL;16;Estabelece medidas no enfrentamento da corrupção nos órgãos da administração pública direta e indireta, e dá outras providências;[('Alexandre Frota', 10000, 'Deputado')];925;
2313795;2022;PL;17;Declara a pratica esportiva do surfe como Patrimônio Cultural e Imaterial do Brasil;[('Alexandre Frota', 10000, 'Deputado')];907;
2313796;2022;PL;18;Estabelece a proibição de organização com o objetivo de difundir ideias nazistas, segregacionistas, discriminatórias, preconceituosas, eugênicas e propagação de violência ou ódio, seja em qualquer meio de comunicação e dá outras providencias.;[('Alexandre Frota', 10000, 'Deputado')];925;
