id_proposicao;ano;tipo;numero;assunto;autores;cod_situacao
465466;2010;MPV;480;Abre crédito extraordinário, em favor da Presidência da República, dos Ministérios da Agricultura, Pecuária e Abastecimento, das Relações Exteriores, da Saúde, da Defesa, da Integração Nacional e das Cidades, e de Transferências a Estados, Distrito Federal e Municípios, no valor global de R$ 1.374.057.000,00, para os fins que especifica.;[('Poder Executivo', 30000, 'Órgão do Poder Executivo')];923
465467;2010;MSC;38;Comunica o Excelentíssimo Senhor Presidente da República que se ausentará do País, no período de  27 a 29 de janeiro de 2010, em viagem oficial  à  Suíça.;[('Poder Executivo', 30000, 'Órgão do Poder Executivo')];923
465469;2010;MSC;42;"Submete à deliberação do Congresso Nacional Projeto de Lei que "" Concede auxílio especial e bolsa especial aos dependentes dos militares das Forças Armadas falecidos no terromoto de janeiro de 2010 na República  do Haiti"".";[('Poder Executivo', 30000, 'Órgão do Poder Executivo')];None
465470;2010;PL;6720;Concede auxílio especial e bolsa especial aos dependentes dos militares das Forças Armadas falecidos no terremoto de janeiro de 2010 na República do Haiti.;[('Poder Executivo', 30000, 'Órgão do Poder Executivo')];923
465481;2010;PL;6721;Transforma cargos de Promotor de Justiça Adjunto em cargos de Procurador de Justiça e de Promotor de Justiça, no âmbito do Ministério Público do Distrito Federal e Territórios.;[('MINISTÉRIO PÚBLICO DA UNIÃO', 81007, 'MPU - Ministério Público da União')];923
465485;2010;MSC;43;"Submete à deliberação do Congresso Nacional o texto do  Projeto de Lei que "" Institui o Programa Nacional de Fomento e Incentivo à Cultura - Procultura, e dá outras providências"".";[('Poder Executivo', 30000, 'Órgão do Poder Executivo')];None
465486;2010;PL;6722;Institui o Programa Nacional de Fomento e Incentivo à Cultura - Procultura, e dá outras providências.;[('Poder Executivo', 30000, 'Órgão do Poder Executivo')];926
465498;2010;REQ;68;Requer seja enviada diligência ao Município de Luziânia-GO para investigar o desaparecimento de adolescentes naquela região.;[('Andreia Zito', 10000, 'Deputado')];None
465500;2010;REQ;69;Solicita realização de audiência pública externa para debater as causas, consequências e responsáveis pelos desaparecimentos de crianças e adolescentes no Brasil, a ser realizada na cidade de Luziânia - Goiás.;[('Bel Mesquita', 10000, 'Deputado')];None
465502;2010;REQ;70;Solicita que seja convocado o Secretário de Segurança Pública do Estado de Goiás, Senhor Ernesto Roller, para prestar esclarecimentos sobre a atuação desta no combate aos fatos investigados por esta Comissão.;[('Vanderlei Macris', 10000, 'Deputado')];None
465503;2010;REQ;6123;Requer a convocação de Sessão Solene da Câmara dos Deputados em homenagem póstuma à médica Zilda Arns.;[('Darcísio Perondi', 10000, 'Deputado')];923
465504;2010;REQ;6124;Requer a convocação de Sessão Solene da Câmara dos Deputados, para homenagear o trabalho social realizado em vida pela médica e sanitarista Zilda Arns Neumann, às 10 horas do dia 12 de março do corrente ano.;[('Raimundo Gomes de Matos', 10000, 'Deputado')];923
465505;2010;REQ;6125;Requer a convocação de Sessão Solene na  Câmara dos Deputados para comemoração do centenário de nascimento da escritora e romancista Rachel de Queiroz às 10 horas, no dia 19 de novembro do corrente ano.;[('Raimundo Gomes de Matos', 10000, 'Deputado')];923
465506;2010;REQ;6126;Requer regime de urgência para apreciação do PL 6697/2009, que altera a Lei n° 11.415, de 15 de dezembro de 2006, que dispõe sobre as Carreiras dos Servidores do Ministério Público da União, fixa os valores de sua remuneração e dá outras providências.;[('Colbert Martins', 10000, 'Deputado'), ('Dagoberto', 10000, 'Deputado'), ('João Pizzolatti', 10000, 'Deputado'), ('Rodrigo Rollemberg', 10000, 'Deputado'), ('Sandro Mabel', 10000, 'Deputado'), ('Vicentinho', 10000, 'Deputado')];923
465507;2010;REQ;6127;Requer urgência para apreciação do Projeto de Lei nº 6613, de 2009.;[('Colbert Martins', 10000, 'Deputado'), ('Dagoberto', 10000, 'Deputado'), ('João Pizzolatti', 10000, 'Deputado'), ('Jovair Arantes', 10000, 'Deputado'), ('Rodrigo Rollemberg', 10000, 'Deputado'), ('Sandro Mabel', 10000, 'Deputado'), ('Vicentinho', 10000, 'Deputado')];923
465508;2010;REQ;6128;Requer a realização de Sessão Solene da Câmara dos Deputados para comemoração do 50º aniversário da cidade de Brasília.;[('Rodrigo Rollemberg', 10000, 'Deputado')];923
465509;2010;REQ;6129;Requer a convocação de Sessão Solene do Congresso Nacional a se realizar, preferencialmente, no mês de fevereiro de 2010, em homenagem à Dra. ZILDA ARNS.;[('Marco Maia', 10000, 'Deputado')];923
465510;2010;REQ;6130;"Requer a convocação de Sessão Solene do Congresso Nacional a se realizar no dia 20 de setembro de 2010, em homenagem à ""Semana Farroupilha"".";[('Marco Maia', 10000, 'Deputado')];923
465511;2010;PL;6723;Dispõe sobre a criação do Jovem Cidadão para promover o Turismo Cívico em Brasília, Capital Federal, de estudantes de ensino fundamental de todo o País.;[('Lincoln Portela', 10000, 'Deputado')];923
465519;2010;REQ;6131;Requer a realização de Sessão Solene, destinada a homenagear a Campanha da Fraternidade 2010, da Conferência Nacional dos Bispos do Brasil - CNBB.;[('Luiz Couto', 10000, 'Deputado')];923
465521;2010;PL;6724;Dispõe sobre a proibição de propaganda de medicamentos e terapias de qualquer tipo ou espécie nos órgãos de comunicação social.;[('Luiz Couto', 10000, 'Deputado')];None
465522;2010;REQ;6132;"Requer a instalação de Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constitução nº 555/2006, que ""revoga o art. 4º da Emenda Constitucional nº 41/2003"".";[('Luiz Couto', 10000, 'Deputado')];923
465523;2010;REQ;6133;Requer a convocação de sessão solene da Câmara dos Deputados para o dia 16 de agosto de 2010, às 10:00 horas.;[('Luiz Couto', 10000, 'Deputado'), ('Pedro Wilson', 10000, 'Deputado')];923
465531;2010;REQ;6134;Requer a convocação de sessão solene da Câmara dos Deputados.;[('Raul Jungmann', 10000, 'Deputado')];923
465533;2010;REQ;6135;Requer a convocação de sessão solene da Câmara dos Deputados.;[('Raul Jungmann', 10000, 'Deputado')];923
465534;2010;PL;6725;Acrescenta inciso IX ao art. 12 da Lei nº 9.394, de 20 de dezembro de 1996, para incluir entre as incumbências dos estabelecimentos de ensino a promoção de medidas de conscientização, prevenção e combate à violência nas escolas.;[('Inocêncio Oliveira', 10000, 'Deputado')];923
465543;2010;REQ;6136;"Requer, nos termos do art. 114, inciso XIV c/c art. 202, § 6º do RICD, a inclusão na  Ordem do Dia do Plenário da Câmara dos Deputados do REC nº 335, de 2009, do Dep. Marcelo Ortiz e outros, interposto contra o poder conclusivo conferido ao PL nº 805, de 2007, que ""altera a Lei n° 8.906, de 04 de julho de 2004, que dispõe sobre o Estatuto da Advocacia e a Ordem dos Advogados do Brasil - OAB, suprimindo a exigência de 5 (cinco) anos de exercício profissional de Advogado para se candidatar a cargos na OAB"".";[('Lincoln Portela', 10000, 'Deputado')];None
465546;2010;REQ;350;seja realizada Audiência Pública, com a presença do Excelentíssimo Senhor Ministro PAULO TARSO VANNUCHI, Titular da Secretaria Especial dos Direitos Humanos, para prestar esclarecimentos a respeito do Decreto nº 7.037, de 21 de dezembro de 2009, que aprova o Programa Nacional de Direitos Humanos (PNDH-3), e dá outras providências.;[('Raul Jungmann', 10000, 'Deputado')];923
465548;2010;REQ;351;seja realizada Audiência Pública, com a presença do Excelentíssimo Senhor NELSON JOBIM, Ministro de Estado da Defesa, para prestar esclarecimentos a respeito do Decreto nº 7.037, de 21 de dezembro de 2009, que aprova o Programa Nacional de Direitos Humanos  (PNDH-3), e dá outras providências.;[('Raul Jungmann', 10000, 'Deputado')];923
465551;2010;REQ;6137;"Solicita a instalação da Comissão Especial destinada a proferir parecer à Proposta de Emenda à Constituição nº 555-A, de 2006, do Sr. Carlos Mota, que ""revoga o art. 4º da Emenda Constitucional nº 41, de 2003"", acabando com a cobrança de contribuição previdenciária sobre os proventos dos servidores públicos aposentados (Contribuição de Inativos) - PEC55506.";[('Arnaldo Faria de Sá', 10000, 'Deputado')];923
465552;2010;REQ;6138;"Requer inclusão na Ordem do Dia da Proposta de Emenda à Constituição nº 308/2004, que ""altera os artigos 21, 32 e 144, da Constituição Federal, criando as polícias penitenciárias federal e estaduais"".";[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465554;2010;REQ;6139;"Requer inclusão na Ordem do Dia da Proposta de Emenda à Constituição nº 059/2007, que ""acrescenta dispositivos ao art. 144, criando a Polícia Portuária Federal, e dá outras providências"".";[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465555;2010;REQ;6140;Requer a instalação de Comissão Especial destinada a proferir parecer à PEC 385, de 2001.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];923
465556;2010;REQ;6141;Requer a instalação de Comissão Especial destinada a proferir parecer à PEC 195, de 2007.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];923
465557;2010;REQ;6142;Requer inclusão na Ordem do Dia da Proposta de Emenda à Constituição nº 534/2002.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465559;2010;REQ;6144;Requer que seja inclusa na Ordem do Dia o Projeto de Lei Complementar nº 277, de 2005.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465560;2010;REQ;6145;Requer inclusão na Ordem do Dia do Projeto de Lei Complementar nº 330 de 2006.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465561;2010;REQ;6146;Requer inclusão na Ordem do Dia do Projeto de Lei Complementar nº 275 de 2001.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465563;2010;REQ;6147;Requer a convocação de sessão solene da Câmara dos Deputados para o dia 04 de março de 2010, às 10:00 horas.;[('Nilson Mourão', 10000, 'Deputado')];923
465564;2010;REQ;6148;"Requer inclusão na Ordem do Dia da Proposta de Emenda à Constituição nº 308/2004, que ""altera os artigos 21, 32 e 144, da Constituição Federal, criando as polícias penitenciárias federal e estadual"".";[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465565;2010;REQ;6149;Requer a inclusão na Ordem do Dia do Projeto de Lei da Câmara dos Deputados nº 42, de 2007, que trata da política de fixação do reajuste do salário mínimo e que, por emenda, estende a todas as aposentadorias e pensões o mesmo reajuste dado ao salário mínimo.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465566;2010;REQ;6150;Solicita inclusão na pauta de votações da Proposta de Emenda à Constituição de nº 457/2005.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465567;2010;REQ;6151;"Requer a inclusão na Ordem do Dia do Plenário da Câmara dos Deputados da PEC nº 471-A, de 2005, do Sr. Dep. João Campos, que ""dá nova redação ao parágrafo 3º do artigo 236 da Constituição Federal"".";[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465568;2010;REQ;6152;Requer apreciação do Projeto de Lei 4645/2001, que altera o inciso XIV do art. 6º da Lei nº 7.713, de 22 de dezembro de 1988, com a redação dada pelo art. 47 da Lei nº 8.541, de 23 de dezembro de 1992, e acréscimo do § 2º do art. 30 da Lei nº 9.250, de 26 de dezembro de 1995, para incluir na isenção do imposto de renda os trabalhadores em atividade, atingidos pelas doenças lá referidas pelo Plenário desta Casa.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465569;2010;REQ;6153;Requer a inclusão na Ordem do Dia da Proposta de Emenda à Constituição nº 02 de 2003, que acrescenta artigos 90 e 91 do ato das disposições Constitucionais Transitórias, possibilitando que os servidores públicos requisitados optem pela alteração da sua lotação funcional, do órgão cedente para o órgão cessionário.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465570;2010;REQ;6154;"Requer a inclusão na Ordem do Dia do Projeto de Lei nº 7.699, de 2006, que ""institui o Estatuto do Portador de Deficiência e dá outras providências"".";[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465571;2010;REQ;6155;Requer inclusão da Proposta de Emenda à Constituição nº 300/2008 na Ordem do Dia do Plenário.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465572;2010;PL;6726;Dispõe sobre o acesso de autoridades às informações relativas à localização de aparelhos de telefonia celular.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];923
465573;2010;REQ;6156;Requer a realização de Sessão Extraordinária da Câmara dos Deputados, tendo como item único da pauta a Proposta de Emenda Constitucional de nº 549/06.;[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465575;2010;PL;6727;"Denomina ""Avenida Prefeito Francisco Alves Andrade"" o trecho da BR-135, compreendido entre os quilômetros 374,5 e 379,7 na travessia urbana no município de São Domingos do Maranhão, Estado do Maranhão, e dá outras providências.";[('Pedro Fernandes', 10000, 'Deputado')];926
465577;2010;REQ;6157;Requer sessão solene da Câmara dos Deputados para o dia 06 de abril, em homenagem ao Centenário de Chico Xavier.;[('Vitor Penido', 10000, 'Deputado')];923
465579;2010;PL;6728;Dispõe sobre a manutenção de serviços de segurança privada em locais em que houver a instalação de caixas eletrônicos, terminais bancários e outros equipamentos assemelhados, assim como em casas lotéricas, agências dos Correios e estabelecimentos congêneres.;[('José Airton Cirilo', 10000, 'Deputado')];None
465581;2010;REQ;71;Solicita que sejam convocados: o Delegado Regional de Luziânia, Dr. José Luiz de Araújo e o delegado-chefe da 1ª Delegacia Distrital de Polícia de Luziânia, Rosivaldo Linhares, para prestarem esclarecimetnos sobre a atuação da Polícia Civil no combate aos fatos investigados por esta Comissão.;[('Vanderlei Macris', 10000, 'Deputado')];None
465582;2010;REQ;6158;"Requer inclusão na Ordem do Dia da PEC 270, de 2008 que ""garante ao servidor que aposentar-se por invalidez permanente o direito dos proventos integrais com paridade. Altera a Constituição Federal de 1988"".";[('Arnaldo Faria de Sá', 10000, 'Deputado')];None
465584;2010;REQ;6159;Requer a inclusão na Ordem do Dia da Proposta de Emenda Constitucional nº 300, de 2008.;[('Marinha Raupp', 10000, 'Deputado')];None
465585;2010;REQ;6160;Requer a inclusão na Ordem do Dia do PLP nº 306, de 2008, que dispõe sobre os valores mínimos a serem aplicados anualmente por Estados, Distrito Federal, Municípios e União em ações e serviços públicos de saúde, os critérios de rateio dos recursos de transferências para a saúde e as normas de fiscalização, avaliação e controle das despesas com saúde nas três esferas de governo.;[('Fátima Pelaes', 10000, 'Deputado')];None
465588;2010;REQ;9;Propõe a realização de seminário para avaliar o projeto do BNDES de modernização da aviação civil brasileira.;[('Luiz Sérgio', 10000, 'Deputado')];None
465592;2010;REQ;6161;Requer a revisão de despacho do PL nº 113/2003, de autoria do Deputado Luciano Castro, que dispõe sobre o repatriamento de recursos depositados no exterior.;[('Eduardo Cunha', 10000, 'Deputado')];1285
465596;2010;PL;6729;Incentiva o setor produtivo a adotar processos ambientalmente adequados em sua produção e descarte.;[('Indio da Costa', 10000, 'Deputado')];923
465597;2010;REQ;6162;Requer a formação de uma Comissão Externa sem ônus para a Câmara dos Deputados, para acompanhar e construir soluções para resolver a situação de aproximadamente 7.500 famílias, moradoras da  região do Jardim  Romano e adjacências. na zona leste da capital paulista, que sofrem há quase dois meses os efeitos do alagamento da região.;[('Paulo Teixeira', 10000, 'Deputado')];None
